content,fecha_publicacion
"@owornat @XochitlGalvez A olga xochitl le parece un titere y claudia no, xochitl le parece poco brillante y Salgado macedonio le parece muy decente (sera porq no la ha violado aun), xochitl le parece un muerto vivo pero una ministra q vota el 100% de las ordenes del presidente (100%) le parece muy viva",2023-11-24 19:32:35+00:00
@owornat @XochitlGalvez Ingenua tu que te ciegas por el que dice ser un mejor presidente y dice las estupideces como que Porfirio Dias goberno hasta el 2011 jajajajajajajaja ni como ayudarlo jajajajja,2023-11-24 19:32:25+00:00
@JJDiazMachuca @Viri_Rios @XochitlGalvez @SobreavisoO Y la soriridad?? Y el feminismo progre?? Y la Sheinbaum no es una sociopata sanguinaria igual que su mentor el presidente mas insensible de la historia????,2023-11-24 19:32:16+00:00
@Lucytresa3090_3 @CarlaEUrenaA @XochitlGalvez @martibatres @Viri_Rios Es nefasto por eso le puse asi. Es una burla y si llegara a ser presidente seria como AMLO. Atacando a todos y haciendose la victima y sin hacer nada. Te aseguro que los mismos que quieren votar por Samuel solo por ser joven estarian igual votando por Pena si fuera 2012.,2023-11-24 19:32:06+00:00
@Elizabe97472369 @XochitlGalvez La tal Xochitl es una persona que solo critica y no tiene propuestas. Es corrupta por todo lo sabido de sus empresas familiares y ademas es una candigata que la impuso nuestro querido Presidente @andresmanuel o ya no lo recuerdas? ,2023-11-24 19:31:44+00:00
"@XochitlGalvez Simona, un albanil con esposa e hijos, escoge partirse la madre diario y al mismo tiempo no salir de la pobreza. Por que el asi lo quiso no? Igual que millones, porque segun ustedes las condiciones estructurales que causan la pobreza no existen, todo esta en la mente. Asnos",2023-11-24 19:30:43+00:00
"@ferbelaunzaran @acostanaranjo @XochitlGalvez @Claudiashein @lopezobrador_ Ja ja ja ja te hagas p3ndejo gran hijoeput@, ya estan preparando el discurso de que la #BotargaBrutaYCogupta no gano por que el presidente metio las manos ja ja ja ja ja son tan predecibles ja ja ja 
Que todo Mexico se entere de esto !!!",2023-11-24 19:28:28+00:00
"@XochitlGalvez lleva una agenda a favor de minorias pendejas y la quieren hacer presidente de todos

 https://t.co/NWdqoTN80Y",2023-11-24 19:23:37+00:00
"La campana sucia contra @XochitlGalvez es EVIDENTE.

Ella va contra el gobierno, medios de comunicacion, y los millones y millones de pesos que no usaron en vacunas, medicinas y Acapulco

Como muestra, la inclusion de  la voz a sueldo de @martibatres , @Viri_Rios en #TercerGrado",2023-11-24 17:00:36+00:00
@owornat @XochitlGalvez Y si te vas a opinar a tu tierra? Alla tienes a tu nuevo presidente...,2023-11-24 19:21:43+00:00
"@PMigoya Toda la propaganda del gobierno haciendo creer que la campana de @XochitlGalvez va mal, y muchos se la creen.
Tan solo porque fue a Guerrero, que esta lucrando con lo de Acapulco.
Pero no ven que ni siquiera el presidente ha ido a nivel terreno a estar con esa gente.",2023-11-24 19:19:03+00:00
"@pablo_majluf @XochitlGalvez se hizo pedazos sola desde que decidio hacerse de 1400 millones al amparo del poder, de una casa a mitad de precio por trafico de influencias y de un titulo con plagio y eso fue mucho antes de que el presidente la alborotara sabiendo que seria la rival mas debil.",2023-11-24 19:14:40+00:00
"@jgnaredo @XochitlGalvez Lo chistoso, gracias al austerismo promovido por AMLO los candidatos del prianrd ya tambien tienen que viajar en vuelos comerciales, Cuando se veia eso?.... Antes de seguro el presidente les prestaba el avion presidencial.... Ni modo @XochitlGalvez ya no te toco... ",2023-11-24 19:12:02+00:00
@LillyTellez @XochitlGalvez @samuel_garcias  proximo presidente de la Republica Mexicana fuera el prianismo lleno de intereses propios,2023-11-24 19:11:15+00:00
"@XochitlGalvez Ni entre su coalicion se soportan, me hubiera gustado que tuvieras mas coherencia y reafirmar que con @alitomorenoc ni a la esquina, pero te jalaron las orejas y metiste la cola entre las patas, nadie quiere un presidente titere.",2023-11-24 19:06:33+00:00
@fernandeznorona @XochitlGalvez Eres tu y tu presidente tuyo por que ami no me Representa,2023-11-24 19:05:57+00:00
"@MaxKaiser75 Es cierto lo que dices.
No hay que dejarnos llevaras @XochitlGalvez es una excelente precandidata y llegara a ser la primera presidente de nuestro pais.
Nos toca a nosotros no hacer caso a esa campana negra desde el estado.",2023-11-24 18:54:18+00:00
"@XochitlGalvez Cuando toda esta FARSA termine y veas que tus m4m4d45 de querer ser ""presidente"" se vayan ALV, la Fiscalia vaya por ti para que pagues por la CORRUPCION de la que te valiste para lograr toda la fortuna que tienes, seguramente vas a estar frente al JUEZ, diciendo m4m4d45 asi  https://t.co/6x9ix6YHDm",2023-11-24 18:52:58+00:00
@NachoRgz @XochitlGalvez @samuel_garcias Ya vas sacando las garras ??? Despues que vendias tus playeras chafas del presidente ?,2023-11-24 18:44:27+00:00
"@XochitlGalvez Propaganda del PAN:
Lopez Obrador es ""un peligro para Mexico""
FeCal es ""el presidente del empleo"" 
Fox es ""el cambio""
Xochitl es ""salir adelante""
Que les crea el par de lombricientos que los sigue y los 2.000 publicistas pagados x las transnacionales que se saborean el litio mex",2023-11-24 18:37:42+00:00
"Vamos a tirarle a todos los mediocres su argumento de que nuestra @XochitlGalvez no levanta.
Que les quede claro a todos Xochitl es candidata ciudadana no de los partidos y no tienen que andar con ella del tingo al tango. 
Los ciudadanos la vamos a llevar a la presidencia. https://t.co/QIKBSDgCMj",2023-11-24 15:29:40+00:00
"@JesusMartinMx @XochitlGalvez @Xochitl2024 @lopezobrador_ Lo peor se cuelga de la imagen del presidente, perdon eso no esta penado, como tener imagenes de amito en campanas.",2023-11-24 18:27:51+00:00
"@martuchi63 @XochitlGalvez Esto, quiere ser presidente?",2023-11-24 18:23:42+00:00
@JesusMartinMx @XochitlGalvez @Xochitl2024 @lopezobrador_ Jajaja que pendejez querer denostar a un presidente con el 70% de aprobacion es hacerse el harakiri,2023-11-24 18:22:33+00:00
"@XochitlGalvez Que es eso de Juanga, usted cree por que su paniaguados se quejan del populismos, debe expresarse de esa forma.
Tenga respeto e inteligencia senora @XochitlGalvez.
Como mi presidente ya no la pela y los medios vendidos ya la catalogaron como inepta y la burla, no queria caer bien",2023-11-24 18:21:42+00:00
"@pepe_spindola @Elizabe97472369 @XochitlGalvez Ustedes los derechangos son muy cagados.

Cuando los medios atacan y atacaron al presidente y su gobierno durante 5 anos son felices.

Cuando ya no hay forma de defender a la botarga porque no existe el como, ahora dicen que les pagan a los medios. 

Estan bien desesperados!",2023-11-24 18:21:32+00:00
@gbonillah @XochitlGalvez NO TE DEJES ENGANAR POR ENCUESTAS COMPRADAS. NO NECESITAMOS UNA VENDEDORA DE TENIS EN TIKTOK. NO NECESITAMOS A NETO Y TITINA PAR DE TITERES. NECESITAMOS A #XOCHILT PRESIDENTE 2024,2023-11-24 18:20:52+00:00
"@LillyTellez @XochitlGalvez La que queria ser presidente,ahora ruega por una rebanada de pastel,ni una migaja le va a tocar porque la cogupta no va a ganar.",2023-11-24 18:15:09+00:00
@CapiSuperGirl @XochitlGalvez De acuerdo contigo... Hay que dar gracias a Dios por no ser chairos.  Gracias a Dios por nuestra proxima Presidente @XochitlGalvez,2023-11-24 18:12:52+00:00
"@CarlosMovement @Bernie6935 @fernandeznorona @XochitlGalvez @INEMexico @CarlosLoret @lopezdoriga @CiroGomezL @DeniseDresserG @TEPJF_informa En serio, cacabot de 9 seguidores? 
Como no te da verguenza ser tan obvio en estas cuentas de cacatroll q solo se dedican a navegar en https://t.co/OHeIgkkvzG  para vomitar m!erda por el hocico a distra y siniestra.
La presidente del INE no mueve un dedo porque es florero del !",2023-11-24 18:11:03+00:00
"@XochitlGalvez @edusax79 Es momento de tener un presidente que priorice la necesidades reales de desarrollo y que tenga la preparacion profesional para poder tomar decisiones certeras. Vamos Xochitl, ahora es tiempo de proyectar el mujeron que eres, ya vimos de donde vienes y tu formacion.",2023-11-24 18:10:00+00:00
"@Elizabe97472369 @XochitlGalvez Que se vea como levanta la Candidata dada por el Presidente a la Oposicion.

Que se vea ... ahi va !!! 

Vaya que destaca  https://t.co/zaEZRlOUeQ",2023-11-24 18:08:37+00:00
@XochitlGalvez @rhamsesaguilar NO TE DEJES ENGANAR POR ENCUESTAS COMPRADAS. NO NECESITAMOS UNA VENDEDORA DE TENIS EN TIKTOK. NO NECESITAMOS A NETO Y TITINA PAR DE TITERES. NECESITAMOS A #XOCHILT PRESIDENTE 2024,2023-11-24 18:05:18+00:00
