content,fecha_publicacion
"Desde la casa de Venustiano Carranza, tengo una mensaje para todo Mexico 
.
.
El precandidato unico a Presidente. Mensaje dirigido a militantes y simpatizantes de Movimiento Ciudadano. https://t.co/20LdsMaDRF",2023-11-24 17:43:41+00:00
"@EsDeMamador El @samuel_garcias anda arrasando en tiktok, en una de esas y termina de presidente el wey, hahha",2023-11-24 17:41:50+00:00
"@samuel_garcias Como se le dice a Claudia,  usted o ella No seran Presidente. Les falta, asi que  lastima no ganara.",2023-11-24 17:40:21+00:00
"Solo para regios.

?Recomiendan a @samuel_garcias para el trabajo de presidente, TU confias en el?

@ErnestoChavana @telediariomty @azucenau @TvAztecaMty @TelevisaMty 

Solo para saber.",2023-11-24 17:31:25+00:00
@samuel_garcias Preguntando a los Nuevo Leonences coinciden que tu gestion a sido desastrosa para ellos. Serias nefasto como presidente.,2023-11-24 17:28:27+00:00
"@NachoRgz @XochitlGalvez @samuel_garcias Etas pero bien PEN..DE..JO eso quisieras tu y una boka de id..iota.. tas, Ahora les va a venir lo bueno.
        XOCHITL PRESIDENTE.",2023-11-24 17:14:42+00:00
"@samuel_garcias @chavacanamayor NO M4MES... si #mexico YA COMPROBO que un pvto inutil no sirve para ser empleado de presidente, un m4ricon que llora por que lo lleven a jugar golf MENOS... #nomamar",2023-11-24 17:11:09+00:00
Ese comentario de su esposa esta fuera de lugar y asi quiere ser Presidente este tipo @samuel_garcias  mejor que se retire y que en #Saltillo sean Personas Non Gratas ,2023-11-24 17:10:56+00:00
"No son buena ondita, 

?Como ven a la OGT de Mariana y @samuel_garcias criticando a Saltillo? 

Son OGTS viajando en un Tesla criticando a Mexico, y con un pais de 50 millones de pobres y 55 millones sin servicios medicos ni medicamentos. 

@laslolouss https://t.co/jbt2uHgRhZ",2023-11-24 08:32:32+00:00
"@samuel_garcias @chavacanamayor Samuel, esta chido que vayas a demostrar que si se puede, pero tras tus palabras no buscar la presidencia y las especulaciones que, de cierta manera, operas para el presidente, como vas a demostrar que de verdad tus aspiraciones son legitimas, que tienes un buen plan de gobierno",2023-11-24 17:00:25+00:00
"@samuel_garcias Un tiktoker como presidente?
Jamas",2023-11-24 16:47:16+00:00
"@JJDiazMachuca @colosioriojas @samuel_garcias El va a ser un excelente Presidente! Quiero creer! 

Ojala le llegue su momento!",2023-11-24 16:37:33+00:00
